,,,,,,,,,,,,,,,,,,
캐릭터 마스터 데이터,,,,,몬스터 마스터 데이터,,,,,전용스킬 마스터 데이터,,,,,자산 데이터,,,
,,,,,,,,,,,,,,,,,,
해금 여부,bool,true / false,캐릭터 사용가능 여부,,보유스킬 ID 9,string,,몬스터가 보유한 스킬 9,,,,,,,보상 수치,int,,보상의 수치 값
현재 레벨,int,1~100,현재 레벨,,보유스킬 ID 10,string,,몬스터가 보유한 스킬 10,,데이터명,자료형,범위,설명,,,,,
누적 경험치,int,0~99999,누적 경험치,,,,,,,스킬 ID,string,,고유 스킬 ID,,,,,
필요 경험치,int,0~9999,다음 레벨까지 필요 경험치,,몬스터 패턴 데이터,,,,,스킬 이름,string,,스킬 이름,,,,,
패시브 해금 여부,int,"0,1",2번째 패시브 해금 여부,,,,,,,사용 최소량,int,3,사용 최소 자원,,,,,
고유스킬 해금 여부,int,"0,1",2번째 고유스킬 해금 여부,,데이터명,자료형,범위,설명,,사용 최대량,int,5,사용 최대 자원,,,,,
일반스킬 해금 여부,int,"0,1,2,3",3개의 일반스킬 해금 여부,,패턴 ID,string,,패턴 고유 식별자,,자원 소모값,int,"3,4,5",자원 소모값,,,,,
일반스킬 공유 여부,int,"0,1,2,3,4,5",5개의 일반스킬 공유가능 여부,,몬스터 ID,string,,대상 몬스터,,대상,int,,자신 / 아군 / 적군,,,,,
전용 룬 해금 여부,int,0~10,10개의 전용 룬 해금 여부,,조건,string,,패턴 발동 조건 종류,,범위ID,string,범위 ID,범위 참조,,,,,
캐릭터 장착 데이터,,,,,조건값,int,,조건의 기준값,,효과,string,효과 ID,적용 효과,,,,,
,,,,,,,,,,계수,int,0~99,기본 수치,,,,,
데이터명,자료형,범위,설명,,몬스터 상태 데이터,,,,,배율,int,0~9,배율,,,,,
캐릭터 ID,string,,대상 캐릭터,,,,,,,횟수,int,0~9,반복 횟수,,,,,
패시브 ID,string,,,,데이터명,자료형,범위,설명,,턴,int,0~9,지속 턴,,,,,
고유스킬 ID,string,,,,몬스터 ID,string,,대상 몬스터,,,,,,,,,,
스킬1 ID,string,,스킬슬롯 1에 장착된 스킬ID,,현재 체력,int,0~999,현재 체력,,공용스킬 마스터 데이터,,,,,,,,
스킬2 ID,string,,스킬슬롯 2에 장착된 스킬ID,,그리드 위치 X,int,0~6,현재 그리드 X좌표,,,,,,,,,,
스킬3 ID,string,,스킬슬롯 3에 장착된 스킬ID,,그리드 위치 Y,int,0~4,현재 그리드 Y좌표,,데이터명,자료형,범위,설명,,,,,
룬1 ID,string,,,,생존 여부,bool,true / false,HP가 0 초과인지 0이하인지,,스킬 ID,string,,스킬 고유 식별자,,,,,
룬2 ID,string,,,,,,,,,스킬 이름,string,,스킬 이름,,,,,
룬3 ID,string,,,,몬스터 상태이상 데이터,,,,,스킬 타입,string,,공격 / 버프 / 디버프 / 특수,,,,,
룬4 ID,string,,,,,,,,,소모자원,string,,체력 / 스태미나,,,,,
룬5 ID,string,,,,데이터명,자료형,범위,설명,,소모값,int,0~99,자원 소모 값,,,,,
룬6 ID,string,,,,몬스터 ID,string,,대상 몬스터,,대상,int,,자신 / 아군 / 적군,,,,,
룬7 ID,string,,,,상태이상 ID,string,,적용된 상태이상,,범위ID,string,범위 ID,범위 참조,,,,,
룬8 ID,string,,,,중첩 수,int,0~9,해당 상태이상이 중첩된 수,,효과,string,효과 ID,적용 효과,,,,,
룬9 ID,string,,,,수치,int,0~9,해당 상태이상의 수치 값,,계수,int,0~99,기본 수치,,,,,
룬10 ID,string,,,,남은 턴,int,0~9,해당 상태이상이 남은 턴,,배율,int,0~9,배율,,이벤트 데이터,,,
룬11 ID,string,,,,,,,,,횟수,int,0~9,반복 횟수,,,,,
룬12 ID,string,,,,파편 데이터,,,,,턴,int,0~9,지속 턴,,이벤트 마스터 데이터,,,
룬13 ID,string,,,,,,,,,,,,,,이벤트 ID,,,
룬14 ID,string,,,,데이터명,자료형,범위,설명,,일반 스킬 데이터,,,,,이벤트 이름,,,
룬15 ID,string,,,,파편 ID,string,,파편 고유 식별자,,,,,,,이벤트 분류,,,
파편1 ID,string,,스킬슬롯 1에 1번 파편,,파편 이름,string,,파편 이름,,데이터명,자료형,범위,설명,,세부 타입,,,
파편2 ID,string,,스킬슬롯 1에 2번 파편,,파편 타입,int,,수치강화 / 효과추가 / 부가효과 / 보강 / 제거,,스킬 ID,string,,일반 스킬 ID,,이벤트 제목,,,
파편3 ID,string,,스킬슬롯 2에 1번 파편,,장착조건종류,int,,스킬타입 / 효과타입 / 대상,,스킬 이름,string,,스킬 이름,,이벤트 설명문,,,
파편4 ID,string,,스킬슬롯 2에 2번 파편,,조건값,string,,장착 가능한 조건 값,,보유 캐릭터,string,,보유 캐릭터,,등장 조건,,,
파편5 ID,string,,스킬슬롯 3에 1번 파편,,효과,string,효과 ID,적용 효과,,스킬 타입,string,,공격 / 버프 / 디버프 / 특수,,결과 보상 참조,,,
파편6 ID,string,,스킬슬롯 3에 2번 파편,,계수,int,0~99,기본 수치,,해금 타입,int,,기본지급 / 해금,,,,,
캐릭터 상태 데이터,,,,,배율,int,0~9,배율,,해금 단계 값,int,,해금 여부,,이벤트 선택지 데이터,,,
,,,,,횟수,int,0~9,반복 횟수,,공유 단계 값,int,,공유 여부,,이벤트ID,,,
데이터명,자료형,범위,설명,,턴,int,0~9,지속 턴,,소모자원,string,,체력 / 스태미나,,선택지 순서,,,
캐릭터 ID,string,,대상 캐릭터,,,,,,,소모값,int,0~99,자원 소모 값,,선택지 문구,,,
현재 체력,int,0~999,현재 체력,,상태이상 데이터,,,,,대상,int,,자신 / 아군 / 적군,,선택지 타입,,,
현재 스태미나,int,0~999,현재 스태미나,,,,,,,범위ID,string,범위 ID,범위 참조,,선택 가능 조건,,,
현재 고유자원,int,0~9,현재 고유자원량,,데이터명,자료형,범위,설명,,효과,string,효과 ID,적용 효과,,선택 비용 종류,,,
그리드 위치 X,int,0~6,현재 그리드 X좌표,,상태이상 ID,string,,상태이상 고유 식별자,,계수,int,0~99,기본 수치,,비용대상,,,
그리드 위치 Y,int,0~4,현재 그리드 Y좌표,,상태이상 이름,string,,상태이상 이름,,배율,int,0~9,배율,,비용 수치,,,
전투불능 여부,bool,true / false,HP가 0 초과인지 0이하인지,,분류,int,,공격 / 버프 / 디버프 / 특수,,횟수,int,0~9,반복 횟수,,결과 종류,,,
캐릭터 상태이상 데이터,,,,,처리 방식,int,,즉시 / 지속 / 상태부여 / 제거,,턴,int,0~9,지속 턴,,결과 대상,,,
,,,,,대상,int,,자신 / 아군 / 적군,,,,,,,결과 수치,,,
데이터명,자료형,범위,설명,,중첩 가능 여부,bool,true / false,중첩 가능 여부,,정수 스킬 데이터,,,,,성공 확률,,,
캐릭터 ID,string,,대상 캐릭터,,최대 중첩수,int,,최대 중첩 수,,,,,,,실패 결과 종류,,,
상태이상 ID,string,,적용된 상태이상,,발동 시점,int,,즉시 / 공격 시 / 피격 시 / 행동 시 / 종료 시 / 상시,,데이터명,자료형,범위,설명,,실패 시 대상,,,
중첩 수,int,0~9,해당 상태이상이 중첩된 수,,수치 종류,int,,피해 / 회복 / 자원 / 증감 / 이동 / 제거,,스킬 ID,string,,정수 스킬 ID,,실패 시 수치,,,
수치,int,0~9,해당 상태이상의 수치 값,,방어도 무시 여부,bool,true / false,방어도 무시 가능 여부,,스킬 이름,string,,스킬 이름,,후속 이벤트,,,
남은 턴,int,0~9,해당 상태이상이 남은 턴,,해제 가능 여부,bool,true / false,해제 가능 여부,,획득처,int,,몬스터 / 상점 / 이벤트 / 공용,,테이블 데이터,,,
,,,,,해제 분류,int,,해로운 상태 / 제어 상태 / 이로운 상태 / 없음,,스킬 타입,istring,,공격 / 버프 / 디버프 / 특수,,,,,
,,,,,계수,int,0~99,기본 수치,,등급,int,,노말 / 레어 / 유니크,,보상 테이블 마스터 데이터,,,
,,,,,배율,int,0~9,배율,,소모자원,string,,체력 / 스태미나,,테이블ID,,,
,,,,,횟수,int,0~9,반복 횟수,,소모값,int,0~99,자원 소모 값,,테이블 이름,,,
,,,,,턴,int,0~9,지속 턴,,대상,int,,자신 / 아군 / 적군,,이 테이블을 사용하는 대상,,,
,,,,,,,,,,범위ID,string,범위 ID,범위 참조,,한 번에 떨어지는 최소 보상 종류,,,
,,,,,,,,,,효과,string,효과 ID,적용 효과,,한 번에 떨어지는 최대 보상 종류,,,
,,,,,,,,,,계수,int,0~99,기본 수치,,같은 보상 중복 선택 허용 여부,,,
,,,,,,,,,,배율,int,0~9,배율,,확정 보상 개수,,,
,,,,,,,,,,횟수,int,0~9,반복 횟수,,,,,
,,,,,,,,,,턴,int,0~9,지속 턴,,보상 테이블 엔트리 데이터,,,
,,,,,,,,,,,,,,,엔트리 ID,,,
,,,,,,,,,,,,,,,테이블 ID,,,
,,,,,,,,,,,,,,,보상 종류,,,
,,,,,,,,,,,,,,,보상 ID,,,
,,,,,,,,,,,,,,,등장 확률,,,
,,,,,,,,,,,,,,,최소 수량,,,
,,,,,,,,,,,,,,,최대 수량,,,
,,,,,,,,,,,,,,,확정 드랍 여부,,,
,,,,,,,,,,,,,,,테이블 내 중복 허용 불가 여부,,,
,,,,,,,,,,,,,,,특정 조건에서만 등장 여부,,,
,,,,,,,,,,,,,,,맵 데이터,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,맵 데이터,,,
,,,,,,,,,,,,,,,맵 ID,,,
,,,,,,,,,,,,,,,맵 이름,,,
,,,,,,,,,,,,,,,방 종류,,,
,,,,,,,,,,,,,,,등장 챕터,,,
,,,,,,,,,,,,,,,등장 맵,,,
,,,,,,,,,,,,,,,방 등급,,,
,,,,,,,,,,,,,,,생성 가중치,,,
,,,,,,,,,,,,,,,반복등장 가능 여부,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,맵 내용 데이터,,,
,,,,,,,,,,,,,,,맵 ID,,,
,,,,,,,,,,,,,,,방 종류,,,
,,,,,,,,,,,,,,,입장 조건,,,
,,,,,,,,,,,,,,,클리어 조건,,,
,,,,,,,,,,,,,,,진행도 데이터,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,진행도 ID,,,
,,,,,,,,,,,,,,,대상 프로필,,,
,,,,,,,,,,,,,,,현재 상태,,,
,,,,,,,,,,,,,,,현재 챕터,,,
,,,,,,,,,,,,,,,현재 구역,,,
,,,,,,,,,,,,,,,현재 맵,,,
,,,,,,,,,,,,,,,현재 로비 재화,,,
,,,,,,,,,,,,,,,현재 사용 파티,,,
,,,,,,,,,,,,,,,저장 슬롯 번호,,,
,,,,,,,,,,,,,,,마지막 저장 시각,,,
,,,,,,,,,,,,,,,스킬 범위 데이터,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,스킬 범위 데이터,,,
,,,,,,,,,,,,,,,범위ID,,,
,,,,,,,,,,,,,,,범위분류,,,
,,,,,,,,,,,,,,,대상종류,,,
,,,,,,,,,,,,,,,크기1,,,
,,,,,,,,,,,,,,,크기2,,,
,,,,,,,,,,,,,,,크기3,,,
,,,,,,,,,,,,,,,…,,,
,,,,,,,,,,,,,,,장애물 무시여부,,,
